"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\Mobile App Projects\cashio\lib\core\utils\list_categories.dart", "Dart", 0, 25, 0, 4, 29
"d:\Mobile App Projects\cashio\lib\core\widgets\custom_date_picker.dart", "Dart", 0, 54, 0, 4, 58
"d:\Mobile App Projects\cashio\lib\features\home\model\expenses.dart", "Dart", 0, -23, 0, -3, -26
"d:\Mobile App Projects\cashio\lib\features\home\model\transactions.dart", "Dart", 0, 26, 0, 3, 29
"d:\Mobile App Projects\cashio\lib\features\home\presentation\home_page.dart", "Dart", 0, 37, -1, -4, 32
"d:\Mobile App Projects\cashio\lib\features\home\presentation\pages\add_transaction.dart", "Dart", 0, 212, 0, 16, 228
"d:\Mobile App Projects\cashio\lib\features\home\presentation\pages\logout_dialog.dart", "Dart", 0, 52, 0, 4, 56
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\add_expenses_savings_bottomsheet.dart", "Dart", 0, -236, -1, -27, -264
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\balance_card.dart", "Dart", 0, 81, 2, 3, 86
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\bar_graph.dart", "Dart", 0, 108, 0, 10, 118
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\custom_nav_bar.dart", "Dart", 0, -5, 1, 0, -4
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\expenses_widget.dart", "Dart", 0, 3, 2, -1, 4
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\logout_dialog.dart", "Dart", 0, -52, 0, -4, -56
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\segmented_button.dart", "Dart", 0, 37, 0, 4, 41
"d:\Mobile App Projects\cashio\lib\features\home\presentation\widget\stat_row.dart", "Dart", 0, 49, 0, 4, 53
"d:\Mobile App Projects\cashio\lib\features\home\provider\expenses_provider.dart", "Dart", 0, -22, 0, -5, -27
"d:\Mobile App Projects\cashio\lib\features\home\provider\transactions_provider.dart", "Dart", 0, 55, 5, 8, 68
"d:\Mobile App Projects\cashio\lib\features\home\repository\expenses_repository.dart", "Dart", 0, -37, 0, -4, -41
"d:\Mobile App Projects\cashio\lib\features\home\repository\transactions_repository.dart", "Dart", 0, 76, 3, 12, 91
"d:\Mobile App Projects\cashio\lib\features\home\usecases\add_categories.dart", "Dart", 0, 12, 0, 4, 16
"d:\Mobile App Projects\cashio\lib\features\home\usecases\add_expenses.dart", "Dart", 0, -18, 0, -4, -22
"d:\Mobile App Projects\cashio\lib\features\home\usecases\add_transaction.dart", "Dart", 0, 20, 0, 4, 24
"d:\Mobile App Projects\cashio\lib\features\home\usecases\get_expenses.dart", "Dart", 0, -8, 0, -4, -12
"d:\Mobile App Projects\cashio\lib\features\home\usecases\get_total_expenses.dart", "Dart", 0, 7, 0, 3, 10
"d:\Mobile App Projects\cashio\lib\features\home\usecases\get_transaction.dart", "Dart", 0, 8, 0, 4, 12
"d:\Mobile App Projects\cashio\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 461, 11, 31, 504